dataset,model_name,metric_name,metric_value,error_notes
microsoft/orca-math-word-problems-200k,bartowski/nvidia_OpenReasoning-Nemotron-14B-GGUF,,,
midas/duc2001,tomaarsen/span-marker-bert-base-uncased-acronyms,,,
midas/duc2001,gauneg/roberta-base-absa-ate-sentiment,,,
midas/duc2001,allenai/unifiedqa-t5-small,,,
midas/duc2001,Mungert/Llama-3.1-8B-Instruct-GGUF,,,
midas/duc2001,dima806/news-category-classifier-distilbert,,,
midas/inspec,tomaarsen/span-marker-bert-base-uncased-acronyms,,,
midas/inspec,PlanTL-GOB-ES/roberta-base-biomedical-clinical-es,,,
midas/inspec,ReliableAI/UCCIX-Llama2-13B-Instruct,,,
midas/inspec,mradermacher/Ministral-8B-Instruct-2410-GGUF,,,
midas/inspec,sdadas/mmlw-roberta-base,,,
midas/semeval2017,tomaarsen/span-marker-bert-base-uncased-acronyms,,,
midas/semeval2017,sdadas/mmlw-roberta-base,,,
midas/semeval2017,mistralai/Mistral-7B-Instruct-v0.2,,,
midas/semeval2017,HuggingFaceTB/SmolVLM-500M-Base,,,
midas/semeval2017,tiiuae/falcon-11B-vlm,,,
nlpaueb/finer-139,cmarkea/distilcamembert-base-ner,,,
nlpaueb/finer-139,CATIE-AQ/NERmembert-large-3entities,,,
nlpaueb/finer-139,ChanceFocus/finma-7b-full,,,
nlpaueb/finer-139,mrm8488/bert-base-german-finetuned-ler,,,
nlpaueb/finer-139,cmarkea/distilcamembert-base,,,
nyu-mll/multi_nli,tasksource/ModernBERT-large-nli,,,
nyu-mll/multi_nli,cross-encoder/nli-deberta-v3-base,,,
nyu-mll/multi_nli,cross-encoder/nli-deberta-v3-large,,,
nyu-mll/multi_nli,cross-encoder/nli-deberta-v3-small,,,
nyu-mll/multi_nli,cross-encoder/nli-deberta-v3-xsmall,,,
odegiber/hate_speech18,cardiffnlp/twitter-roberta-base-hate-latest,,,
odegiber/hate_speech18,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,,,
odegiber/hate_speech18,MoritzLaurer/deberta-v3-xsmall-zeroshot-v1.1-all-33,,,
odegiber/hate_speech18,Hate-speech-CNERG/bert-base-uncased-hatexplain,,,
odegiber/hate_speech18,Hate-speech-CNERG/bert-base-uncased-hatexplain-rationale-two,,,
pkavumba/balanced-copa,bartowski/glm-4-9b-chat-abliterated-GGUF,,,
pkavumba/balanced-copa,Bahasalab/Bahasa-4b-chat,,,
pkavumba/balanced-copa,IAAR-Shanghai/xVerify-3B-Ia,,,
pkavumba/balanced-copa,MaLA-LM/emma-500-llama3-8b-bi,,,
pkavumba/balanced-copa,BSC-LT/salamandra-7b-instruct,,,
raquiba/Sarcasm_News_Headline,IlyaGusev/xlm_roberta_large_headline_cause_full,,,
raquiba/Sarcasm_News_Headline,dima806/news-category-classifier-distilbert,,,
raquiba/Sarcasm_News_Headline,cardiffnlp/twitter-roberta-base-emotion-multilabel-latest,,,
raquiba/Sarcasm_News_Headline,deutsche-telekom/mt5-small-sum-de-en-v1,,,
raquiba/Sarcasm_News_Headline,deepseek-ai/deepseek-coder-7b-base-v1.5,,,
sentence-transformers/eli5,albert/albert-xxlarge-v1,,,
sentence-transformers/eli5,Intelligent-Internet/II-Medical-8B-1706,,,
sentence-transformers/eli5,Mungert/II-Medical-8B-1706-GGUF,,,
sentence-transformers/eli5,DevQuasar/Intelligent-Internet.II-Medical-8B-GGUF,,,
sentence-transformers/eli5,ServiceNow-AI/Apriel-5B-Instruct,,,
sentence-transformers/yahoo-answers,albert/albert-xxlarge-v1,,,
sentence-transformers/yahoo-answers,Qwen/Qwen2-7B,,,
sentence-transformers/yahoo-answers,mradermacher/ARM-7B-i1-GGUF,,,
sentence-transformers/yahoo-answers,Mungert/Llama-3.1-8B-Instruct-GGUF,,,
sentence-transformers/yahoo-answers,xverse/XVERSE-13B,,,
sileod/movie_recommendation,Vchitect/ShotVL-7B,,,
sileod/movie_recommendation,mradermacher/ShotVL-7B-i1-GGUF,,,
sileod/movie_recommendation,mlabonne/Daredevil-8B-abliterated,,,
sileod/movie_recommendation,Vchitect/ShotVL-3B,,,
sileod/movie_recommendation,nvidia/Llama3-ChatQA-2-8B,,,
starmpcc/Asclepius-Synthetic-Clinical-Notes,nlpie/Llama2-MedTuned-7b,,,
starmpcc/Asclepius-Synthetic-Clinical-Notes,mradermacher/II-Medical-8B-1706-GGUF,,,
starmpcc/Asclepius-Synthetic-Clinical-Notes,dmis-lab/llama-3-meerkat-8b-v1.0,,,
starmpcc/Asclepius-Synthetic-Clinical-Notes,bartowski/HuatuoGPT-o1-7B-v0.1-GGUF,,,
starmpcc/Asclepius-Synthetic-Clinical-Notes,FreedomIntelligence/Apollo-7B,,,
tals/vitaminc,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,,,
tals/vitaminc,sdadas/mmlw-roberta-base,,,
tals/vitaminc,OpenSciLM/Llama-3.1_OpenScholar-8B,,,
tals/vitaminc,MoritzLaurer/deberta-v3-base-zeroshot-v2.0-c,,,
tals/vitaminc,MoritzLaurer/roberta-base-zeroshot-v2.0-c,,,
tdiggelm/climate_fever,tasksource/ModernBERT-large-nli,,,
tdiggelm/climate_fever,cross-encoder/nli-deberta-v3-base,,,
tdiggelm/climate_fever,cross-encoder/nli-deberta-v3-large,,,
tdiggelm/climate_fever,cross-encoder/nli-deberta-v3-small,,,
tdiggelm/climate_fever,OpenSciLM/Llama-3.1_OpenScholar-8B,,,
theatticusproject/cuad,sdadas/mmlw-roberta-base,,,
theatticusproject/cuad,yandex/YandexGPT-5-Lite-8B-instruct,,,
theatticusproject/cuad,FreedomIntelligence/phoenix-inst-chat-7b,,,
theatticusproject/cuad,QuantFactory/Llama-3.2-3B-GGUF,,,
theatticusproject/cuad,allegro/herbert-base-cased,,,
tuetschek/multi_woz_v22,nvidia/Llama3-ChatQA-2-8B,,,
tuetschek/multi_woz_v22,bartowski/Llama-3-ChatQA-1.5-8B-GGUF,,,
tuetschek/multi_woz_v22,Monor/Llama3-ChatQA-1.5-8B-gguf,,,
tuetschek/multi_woz_v22,MAGAer13/mplug-owl2-llama2-7b,,,
tuetschek/multi_woz_v22,winglian/basilisk-4b,,,
ucberkeley-dlab/measuring-hate-speech,cardiffnlp/twitter-roberta-base-hate-latest,,,
ucberkeley-dlab/measuring-hate-speech,MoritzLaurer/deberta-v3-xsmall-zeroshot-v1.1-all-33,,,
ucberkeley-dlab/measuring-hate-speech,MoritzLaurer/deberta-v3-large-zeroshot-v1.1-all-33,,,
ucberkeley-dlab/measuring-hate-speech,Hate-speech-CNERG/bert-base-uncased-hatexplain,,,
ucberkeley-dlab/measuring-hate-speech,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,,,
ucirvine/reuters21578,dima806/news-category-classifier-distilbert,,,
ucirvine/reuters21578,mradermacher/mistral-7b-anthropic-i1-GGUF,,,
ucirvine/reuters21578,IDEA-CCNL/Erlangshen-Roberta-110M-Sentiment,,,
ucirvine/reuters21578,mradermacher/Minerva-350M-base-v1.0-i1-GGUF,,,
ucirvine/reuters21578,ludocomito/Minerva-MoE-2x3B,,,
ucsbnlp/liar,bespokelabs/Bespoke-MiniCheck-7B,,,
ucsbnlp/liar,yaxili96/FactCG-DeBERTa-v3-Large,,,
ucsbnlp/liar,lytang/MiniCheck-Flan-T5-Large,,,
ucsbnlp/liar,lytang/MiniCheck-RoBERTa-Large,,,
ucsbnlp/liar,HooshvareLab/bert-base-parsbert-uncased,,,
virattt/financial-qa-10K,albert/albert-xxlarge-v1,,,
virattt/financial-qa-10K,mradermacher/DeepMath-Omn-1.5B-GGUF,,,
virattt/financial-qa-10K,open-thoughts/OpenThinker3-7B,,,
virattt/financial-qa-10K,llm-agents/tora-code-7b-v1.0,,,
virattt/financial-qa-10K,unsloth/Meta-Llama-3.1-8B-Instruct-unsloth-bnb-4bit,,,
wics/strategy-qa,bullerwins/DeepSeek-R1-0528-Qwen3-8B-fp8,,,
wics/strategy-qa,mradermacher/Falcon-H1-7B-Instruct-GGUF,,,
wics/strategy-qa,mlabonne/Daredevil-8B-abliterated,,,
wics/strategy-qa,dhmeltzer/Llama-2-13b-hf-eli5-wiki-1024_r_64_alpha_16_merged,,,
wics/strategy-qa,aaditya/OpenBioLLM-Llama3-8B-GGUF,,,
zeroshot/twitter-financial-news-sentiment,gauneg/roberta-base-absa-ate-sentiment,,,
zeroshot/twitter-financial-news-sentiment,MoritzLaurer/deberta-v3-large-zeroshot-v2.0-c,,,
zeroshot/twitter-financial-news-sentiment,protectai/MoritzLaurer-roberta-base-zeroshot-v2.0-c-onnx,,,
zeroshot/twitter-financial-news-sentiment,IDEA-CCNL/Erlangshen-Roberta-110M-Sentiment,,,
zeroshot/twitter-financial-news-sentiment,dima806/news-category-classifier-distilbert,,,
