condition,query_dataset,rank,model_name,recommendation_score,source_method,reasoning
C_method2_only,ParlAI/blended_skill_talk,5,TheBloke/Llama-2-13B-fp16,0.50,method2,"The GNN predicted-performance is high at 0.8697, but measured evidence is limited to Joschka/big_bench_hard accuracy=0.394. It is still a plausible fallback because it is a general 13B Llama 2 text-generation model, though with much weaker measured support than the higher-ranked options."
D_claude_baseline,ParlAI/blended_skill_talk,1,Qwen/Qwen2.5-14B-Instruct,0.93,claude_baseline,"Largest allowed strong general instruct model; excellent multi-turn dialogue, persona following, and knowledge integration make it ideal for BlendedSkillTalk's mixed-skill conversations."
D_claude_baseline,ParlAI/blended_skill_talk,2,meta-llama/Llama-3.1-8B-Instruct,0.9,claude_baseline,"Top-tier 8B chat model with strong conversational fluency, empathy, and instruction-following, well suited to blended persona/empathy/knowledge dialogue."
D_claude_baseline,ParlAI/blended_skill_talk,3,google/gemma-2-9b-it,0.87,claude_baseline,"Highly competitive 9B instruction-tuned model with strong open-domain chat quality and safe, empathetic responses that align with BST's skills."
D_claude_baseline,ParlAI/blended_skill_talk,4,Qwen/Qwen2.5-7B-Instruct,0.85,claude_baseline,Strong 7B multi-turn chat model with good grounding and persona consistency; efficient yet very competitive on dialogue tasks.
D_claude_baseline,ParlAI/blended_skill_talk,5,mistralai/Mistral-7B-Instruct-v0.3,0.8,claude_baseline,"Well-established 7B instruct model with solid conversational quality and knowledge use, providing a reliable baseline for BlendedSkillTalk-style dialogue."
A_merged,RobZamp/sick,1,tasksource/ModernBERT-large-nli,0.94,method1,"Best measured match from the neighborhood: on stanfordnlp/snli, a highly similar NLI sentence-pair dataset, it achieved accuracy=0.94. This is the strongest grounded evidence for transfer to SICK-style entailment classification."
A_merged,RobZamp/sick,2,cross-encoder/nli-deberta-v3-base,0.91,method1,Very strong measured NLI result on stanfordnlp/snli with accuracy=0.9238. Its cross-encoder NLI formulation closely matches SICK sentence-pair inference.
A_merged,RobZamp/sick,3,cross-encoder/nli-deberta-v3-large,0.90,method1,"Measured on stanfordnlp/snli with accuracy=0.922 and f1=0.922, giving robust evidence on a closely related entailment benchmark. It is slightly below the base variant in the retrieved results but still an excellent fit."
A_merged,RobZamp/sick,4,cross-encoder/nli-deberta-v3-small,0.87,method1,"Measured on stanfordnlp/snli with accuracy=0.9165, only modestly behind the larger DeBERTa NLI variants. It offers strong task-matched evidence while likely being more efficient."
A_merged,RobZamp/sick,5,cross-encoder/nli-deberta-v3-xsmall,0.85,method1,"Measured on stanfordnlp/snli with accuracy=0.9164, essentially matching the small variant in this neighborhood. Despite its smaller size, it has strong real NLI evidence for SICK-style sentence-pair classification."
B_method1_only,RobZamp/sick,1,tasksource/ModernBERT-large-nli,0.88,method1,"It has the strongest measured result on the closest and most task-aligned neighbor, stanfordnlp/snli, with accuracy=0.94. SNLI is an English sentence-pair NLI benchmark, making this the most directly relevant evidence for RobZamp/sick."
B_method1_only,RobZamp/sick,2,cross-encoder/nli-deberta-v3-base,0.85,method1,"It achieves the second-best measured result on stanfordnlp/snli with accuracy=0.9238. The model is explicitly an NLI cross-encoder, matching the entailment-focused structure of RobZamp/sick."
B_method1_only,RobZamp/sick,3,cross-encoder/nli-deberta-v3-large,0.84,method1,It performs very strongly on stanfordnlp/snli with accuracy=0.922 and f1=0.922. This is slightly below cross-encoder/nli-deberta-v3-base but remains highly relevant because SNLI closely matches SICK's English sentence-pair entailment task.
B_method1_only,RobZamp/sick,4,cross-encoder/nli-deberta-v3-small,0.80,method1,"It has strong measured performance on stanfordnlp/snli with accuracy=0.9165. Although below the larger/base DeBERTa NLI models, it remains a robust task-matched option for SICK-style entailment classification."
B_method1_only,RobZamp/sick,5,cross-encoder/nli-deberta-v3-xsmall,0.78,method1,"It achieves accuracy=0.9164 on stanfordnlp/snli, nearly matching the small variant. Its measured NLI performance on the closest neighbor makes it more promising for RobZamp/sick than less task-aligned models evaluated on LCQMC, PL-MTEB, or ARC-style datasets."
C_method2_only,RobZamp/sick,1,allegro/herbert-base-cased,0.88,method2,"Best fit because it is a Polish language model with consistently strong measured Polish KLEJ results, including allegro/klej-psc accuracy=0.989 and allegro/klej-cdsc-e accuracy=0.945. It also performs well on allegro/klej-polemo2-in accuracy=0.909 and allegro/klej-polemo2-out accuracy=0.804, giving the strongest measured support for a Polish text-classification dataset."
C_method2_only,RobZamp/sick,2,dkleczek/bert-base-polish-uncased-v1,0.82,method2,"Strong second choice because it is also a Polish BERT model with measured results on the same relevant KLEJ family, including allegro/klej-psc f1=0.988 and allegro/klej-cdsc-e accuracy=0.939. It is slightly weaker than HerBERT on allegro/klej-polemo2-in accuracy=0.881, allegro/klej-polemo2-out accuracy=0.688, and allegro/klej-dyk f1=0.594."
C_method2_only,RobZamp/sick,3,sentence-transformers/sentence-t5-base,0.68,method2,"Good task-oriented candidate because it is designed for sentence embeddings and similarity, with measured text-pair/classification evidence such as SetFit/mrpc accuracy=0.7293. Its broader classification track record is solid on CogComp/trec accuracy=0.946, SetFit/SentEval-CR accuracy=0.9131, and SeungAhSon/SentEval-MR accuracy=0.8656, though the evidence is not Polish."
C_method2_only,RobZamp/sick,4,MoritzLaurer/deberta-v3-large-zeroshot-v2.0-c,0.59,method2,"Useful fallback for classification-style inference because it has measured zero-shot/text-classification results across several datasets, including Yelp/yelp_review_full f1=0.988 and ArtGarfunkel/FinancialPhraseBank f1=0.691. Confidence is limited by mixed results on allenai/social_bias_frames f1=0.644, AmazonScience/massive f1=0.526, and google/trueteacher f1=0.459, plus lack of Polish-specific evidence."
C_method2_only,RobZamp/sick,5,sentence-transformers/msmarco-distilbert-base-tas-b,0.54,method2,"Selected as a weaker but relevant semantic-embedding option because the model is built for dense sentence representation and semantic search, which is adjacent to semantic similarity classification. Its measured evidence is limited to one dataset, whybe-choi/trec-dl-2020 top-k_accuracy=0.875, so it ranks below models with broader measured track records."
D_claude_baseline,RobZamp/sick,1,MoritzLaurer/DeBERTa-v3-large-mnli-fever-anli-ling-wanli,0.96,claude_baseline,"DeBERTa-v3-large fine-tuned on the union of MNLI+FEVER+ANLI+Ling+WANLI is a top-performing English NLI model and transfers directly to SICK's 3-way entailment task, typically achieving near-SOTA with minimal or no fine-tuning."
D_claude_baseline,RobZamp/sick,2,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,0.93,claude_baseline,"Same DeBERTa-v3-large backbone trained on a broader zero-shot/NLI mixture; excellent SICK-E performance either zero-shot or after a light fine-tune, and strong on relatedness via NLI probabilities."
D_claude_baseline,RobZamp/sick,3,MoritzLaurer/deberta-v3-large-zeroshot-v1.1-all-33,0.9,claude_baseline,Another DeBERTa-v3-large zero-shot NLI variant; comparable accuracy to v2.0 and a very strong entailment classifier for SICK-style sentence pairs.
D_claude_baseline,RobZamp/sick,4,cross-encoder/nli-deberta-v3-large,0.88,claude_baseline,"DeBERTa-v3-large cross-encoder trained on SNLI+MNLI, purpose-built for pairwise entailment scoring — exactly SICK's format — and reliably delivers high accuracy after brief fine-tuning."
D_claude_baseline,RobZamp/sick,5,MoritzLaurer/deberta-v3-base-zeroshot-v2.0,0.83,claude_baseline,Smaller DeBERTa-v3-base NLI model; slightly lower ceiling than the large variants but trains fast on SICK's ~10k pairs and still outperforms most general-purpose LLMs on this benchmark.
A_merged,SemEvalWorkshop/hyperpartisan_news_detection,1,cardiffnlp/twitter-roberta-base-hate-latest,0.86,method1,"Best measured result on the closest similar dataset, Hate-speech-CNERG/hatexplain, with accuracy=0.8653 and f1=0.845. Its strong performance on bias-adjacent hate/offensive speech detection makes it the most grounded candidate for hyperpartisan news detection."
A_merged,SemEvalWorkshop/hyperpartisan_news_detection,2,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,0.77,method1,"Top result on allenai/social_bias_frames with f1=0.656, a dataset focused on social bias and offensiveness in English text. Its zero-shot classification design is useful for adapting to the hyperpartisan/non-hyperpartisan label space."
A_merged,SemEvalWorkshop/hyperpartisan_news_detection,3,MoritzLaurer/deberta-v3-xsmall-zeroshot-v1.1-all-33,0.73,method1,"Strong measured result on Hate-speech-CNERG/hatexplain with accuracy=0.774. Although only measured on one similar dataset here, it is a zero-shot classifier and slightly outperformed the larger v1.1 DeBERTa variant on that benchmark."
A_merged,SemEvalWorkshop/hyperpartisan_news_detection,4,Hate-speech-CNERG/bert-base-uncased-hatexplain,0.69,method1,Measured directly on Hate-speech-CNERG/hatexplain with accuracy=0.698 and f1=0.687. It is less flexible than the zero-shot models but has solid task-specific evidence on a closely related English harmful/bias text classification benchmark.
A_merged,SemEvalWorkshop/hyperpartisan_news_detection,5,dima806/news-category-classifier-distilbert,0.65,method1,"Measured on the news-domain dataset heegyu/news-category-dataset with accuracy=0.7073 and f1=0.608. The task is news categorization rather than hyperpartisanship, but the news-article domain match gives it useful complementary evidence."
B_method1_only,SemEvalWorkshop/hyperpartisan_news_detection,1,cardiffnlp/twitter-roberta-base-hate-latest,0.82,method1,"Best measured result on the closest neighbor, Hate-speech-CNERG/hatexplain, with accuracy=0.8653 and f1=0.845. Although hate speech is not identical to hyperpartisan news, it is a closely related biased-language classification setting."
B_method1_only,SemEvalWorkshop/hyperpartisan_news_detection,2,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,0.74,method1,"Top model on allenai/social_bias_frames with f1=0.656, a strong signal for detecting biased or socially loaded language. Its zero-shot classification setup is also well aligned with adapting to hyperpartisan versus non-hyperpartisan labels."
B_method1_only,SemEvalWorkshop/hyperpartisan_news_detection,3,MoritzLaurer/deberta-v3-large-zeroshot-v2.0-c,0.69,method1,"Has measured evidence on two similar datasets: allenai/social_bias_frames with f1=0.644 and Hate-speech-CNERG/hatexplain with f1=0.378. The cross-dataset coverage is useful, though the weaker HateXplain result lowers confidence."
B_method1_only,SemEvalWorkshop/hyperpartisan_news_detection,4,dima806/news-category-classifier-distilbert,0.65,method1,"Evaluated directly on an English news classification dataset, heegyu/news-category-dataset, with accuracy=0.7073 and f1=0.608. The domain match to news articles is valuable, even though the target label is category rather than hyperpartisanship."
B_method1_only,SemEvalWorkshop/hyperpartisan_news_detection,5,MoritzLaurer/deberta-v3-xsmall-zeroshot-v1.1-all-33,0.61,method1,"Second-best measured accuracy on Hate-speech-CNERG/hatexplain with accuracy=0.774. Its zero-shot design makes it plausible for a new binary hyperpartisan-news classification setup, though evidence is from only one neighboring dataset."
C_method2_only,SemEvalWorkshop/hyperpartisan_news_detection,1,NousResearch/Hermes-2-Pro-Mistral-7B-GGUF,0.78,method2,"Strongest measured text-oriented track record among the candidates, with NousResearch/func-calling-eval accuracy=0.91, NousResearch/json-mode-eval accuracy=0.84, allenai/winogrande accuracy=0.723, Rowan/hellaswag accuracy=0.6272, and allenai/ai2_arc accuracy=0.5461. Its broad language and reasoning evidence is more relevant to hyperpartisan news detection than the image-heavy candidates."
C_method2_only,SemEvalWorkshop/hyperpartisan_news_detection,2,NousResearch/Hermes-2-Pro-Mistral-7B,0.75,method2,"Very similar 7B language model with strong measured results on NousResearch/func-calling-eval accuracy=0.91, NousResearch/json-mode-eval accuracy=0.84, and allenai/winogrande accuracy=0.723. It is ranked slightly below the GGUF artifact because its listed measured record is smaller and includes a weaker allenai/openbookqa accuracy=0.336."
C_method2_only,SemEvalWorkshop/hyperpartisan_news_detection,3,mradermacher/mistral-7b-anthropic-i1-GGUF,0.62,method2,"This model has by far the strongest GNN combined score in the evidence, 0.0151, and its one measured result is HuggingFaceH4/cai-conversation-harmless accuracy=0.6725. The recommendation is limited by having only one recorded evaluation, so the measured evidence is much thinner than for Hermes."
C_method2_only,SemEvalWorkshop/hyperpartisan_news_detection,4,MBZUAI-Paris/Atlas-Chat-2B,0.49,method2,"Atlas-Chat-2B has multiple measured text-task results, including MBZUAI-Paris/DarijaAlpacaEval accuracy=0.9231, arbml/MArSum chrf=0.7399, and MBZUAI-Paris/DarijaMMLU accuracy=0.4497. It is weaker for this query because the track record is mainly Darija-focused, which may not transfer well to SemEval hyperpartisan news."
C_method2_only,SemEvalWorkshop/hyperpartisan_news_detection,5,RichardErkhov/TIGER-Lab_-_StructLM-7B-gguf,0.42,method2,"StructLM-7B has a relevant text-generation style result on GEM/dart with bleu=0.622. However, it has only one known measured evaluation and is specialized for structured knowledge grounding rather than news classification, so it is a lower-confidence fallback."
D_claude_baseline,SemEvalWorkshop/hyperpartisan_news_detection,1,MoritzLaurer/DeBERTa-v3-large-mnli-fever-anli-ling-wanli,0.93,claude_baseline,"DeBERTa-v3-large is SOTA-class for supervised text classification, and this NLI-adapted checkpoint transfers exceptionally well to stance/hyperpartisan-style binary tasks with light fine-tuning."
D_claude_baseline,SemEvalWorkshop/hyperpartisan_news_detection,2,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,0.90,claude_baseline,Same strong DeBERTa-v3-large backbone tuned as a universal zero-shot classifier; fine-tunes to hyperpartisan detection quickly and also gives a strong zero-shot baseline.
D_claude_baseline,SemEvalWorkshop/hyperpartisan_news_detection,3,MoritzLaurer/deberta-v3-large-zeroshot-v1.1-all-33,0.88,claude_baseline,"Another DeBERTa-v3-large variant trained on a large mixture of classification datasets, providing robust representations that transfer well to news partisanship classification."
D_claude_baseline,SemEvalWorkshop/hyperpartisan_news_detection,4,alisawuffles/roberta-large-wanli,0.83,claude_baseline,"RoBERTa-large fine-tuned on WANLI — a strong, well-calibrated large encoder that historically performs very competitively on SemEval-style news/stance classification benchmarks."
D_claude_baseline,SemEvalWorkshop/hyperpartisan_news_detection,5,cross-encoder/nli-deberta-v3-large,0.81,claude_baseline,DeBERTa-v3-large trained as an NLI cross-encoder; its sentence-pair semantic modeling transfers well when fine-tuned for the binary hyperpartisan label.
A_merged,SetFit/bbc-news,1,dima806/news-category-classifier-distilbert,0.84,method1,"This has the most directly relevant measured evidence: on heegyu/news-category-dataset, a close news-topic classification neighbor, it achieved accuracy=0.7073 and f1=0.608. Because BBC News is also a news topic classification dataset, this grounded Source A result is highly applicable."
A_merged,SetFit/bbc-news,2,sentence-transformers/sentence-t5-base,0.80,method2,"Although Source B is predictive, this model has a strong real text-classification track record: CogComp/trec accuracy=0.946, SetFit/SentEval-CR accuracy=0.9131, SeungAhSon/SentEval-MR accuracy=0.8656, and SetFit/mrpc accuracy=0.7293. Its GNN predicted-performance is also high at 0.8991."
A_merged,SetFit/bbc-news,3,allenai/unifiedqa-t5-small,0.72,method2,"This is the only listed GNN model with a strong nonzero combined score, 0.7825 from link=0.9272 and predicted-performance=0.8439. Its measured NLP results are solid across several datasets, including allenai/ai2_arc accuracy=0.762, allenai/qasc accuracy=0.685, and allenai/ropes f1=0.67."
A_merged,SetFit/bbc-news,4,ServiceNow-AI/Apriel-5B-Instruct,0.66,method2,"The GNN assigns a high predicted-performance of 0.8709, and its measured language benchmark results are broadly strong: HuggingFaceH4/ifeval accuracy=0.8078, Rowan/hellaswag accuracy=0.7452, allenai/winogrande accuracy=0.6235, and allenai/ai2_arc accuracy=0.5904. It is less directly tied to news classification than the top models but has consistent general NLP evidence."
A_merged,SetFit/bbc-news,5,timm/vit_base_patch16_clip_224.dfn2b,0.58,both,"This is the only agreement model, appearing in both Source A and Source B, and it has a measured Source A result of accuracy=0.7885 on JimmyUnleashed/Pascal_VOC. However, its broader track record is mainly vision-focused, such as randall-lab/stl10 accuracy=0.9752 and HuggingFaceM4/Stanford-Cars accuracy=0.9073, so it is weaker for BBC News text classification despite the agreement signal."
B_method1_only,SetFit/bbc-news,1,dima806/news-category-classifier-distilbert,0.86,method1,"This is the only model measured on the closest and most task-aligned dataset, heegyu/news-category-dataset, with accuracy=0.7073 and f1=0.608. Because BBC News is also news topic classification, this is the strongest grounded match."
B_method1_only,SetFit/bbc-news,2,nvidia/Llama3-ChatQA-2-8B,0.55,method1,"On McGill-NLP/TopiOCQA, this model achieved the best measured result among the evaluated text LLMs with f1=0.5575. The task is not direct news classification, but it provides the strongest measured general text-understanding signal after the news-category classifier."
B_method1_only,SetFit/bbc-news,3,bartowski/Llama-3-ChatQA-1.5-8B-GGUF,0.48,method1,"This model was also evaluated on McGill-NLP/TopiOCQA and achieved f1=0.4996. Its evidence is indirect for BBC News, but the measured performance is competitive among the available sub-14B text models."
B_method1_only,SetFit/bbc-news,4,Monor/Llama3-ChatQA-1.5-8B-gguf,0.45,method1,"On McGill-NLP/TopiOCQA, this model recorded accuracy=0.4996, giving it some measured support on a related text-heavy benchmark. The evidence is less task-aligned than news classification, so it ranks below the stronger ChatQA variants."
B_method1_only,SetFit/bbc-news,5,mirth/chonky_modernbert_base_1,0.30,method1,"This model was evaluated on SetFit/20_newsgroups, a topic-classification dataset similar in spirit to BBC News, but its measured f1=0.15 is weak. It is included because the task alignment is relevant, though the empirical result suggests substantial risk."
C_method2_only,SetFit/bbc-news,1,sentence-transformers/sentence-t5-base,0.88,method2,"Best fit for a SetFit-style news classification task because it has strong measured text classification/semantic results: CogComp/trec accuracy=0.946, SetFit/SentEval-CR accuracy=0.9131, SeungAhSon/SentEval-MR accuracy=0.8656, and SetFit/mrpc accuracy=0.7293."
C_method2_only,SetFit/bbc-news,2,allenai/unifiedqa-t5-small,0.76,method2,"It is the only candidate with a strong nonzero GNN query score for SetFit/bbc-news, combined=0.7825 from link=0.9272 and predicted-performance=0.8439. Its measured language-understanding track record is solid across allenai/ai2_arc accuracy=0.762, allenai/qasc accuracy=0.685, allenai/ropes f1=0.67, and allenai/quoref f1=0.635."
C_method2_only,SetFit/bbc-news,3,ServiceNow-AI/Apriel-5B-Instruct,0.72,method2,"A strong general instruction model under the parameter limit with consistent measured NLP results, including HuggingFaceH4/ifeval accuracy=0.8078, Rowan/hellaswag accuracy=0.7452, allenai/winogrande accuracy=0.6235, and allenai/ai2_arc accuracy=0.5904. This breadth suggests good transfer to prompt-based news categorization."
C_method2_only,SetFit/bbc-news,4,SparseLLM/prosparse-llama-2-7b,0.69,method2,"Shows very consistent measured performance across several language understanding benchmarks: allenai/social_i_qa accuracy=0.6627, Rowan/hellaswag accuracy=0.6627, allenai/winogrande accuracy=0.6627, aps/super_glue accuracy=0.6627, and EleutherAI/lambada_openai accuracy=0.635. The aps/super_glue result is especially relevant as a broad NLU benchmark."
C_method2_only,SetFit/bbc-news,5,mradermacher/CapyLake-7B-v2-laser-i1-GGUF,0.66,method2,"Has strong measured results on several reasoning/NLU datasets, especially allenai/winogrande accuracy=0.8445, allenai/hellaswag accuracy=0.7145, and allenai/ai2_arc accuracy=0.6689. It is ranked below more consistent options because its measured results drop on allenai/openbookqa accuracy=0.398 and RUCAIBox/agieval accuracy=0.2835."
D_claude_baseline,SetFit/bbc-news,1,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,0.95,claude_baseline,DeBERTa-v3-large fine-tuned for zero-shot classification is a near-perfect fit: BBC News labels are semantic English words and this model routinely tops zero-shot topical classification benchmarks; also excellent when fine-tuned.
D_claude_baseline,SetFit/bbc-news,2,MoritzLaurer/DeBERTa-v3-large-mnli-fever-anli-ling-wanli,0.92,claude_baseline,DeBERTa-v3-large with strong NLI pretraining transfers extremely well to zero-shot news topic classification and delivers state-of-the-art results when fine-tuned on small labeled sets like BBC News.
D_claude_baseline,SetFit/bbc-news,3,answerdotai/ModernBERT-Large-Instruct,0.88,claude_baseline,"ModernBERT-large has the strongest recent encoder pretraining, handles long documents efficiently, and fine-tunes to near-ceiling accuracy on standard topical classification datasets like BBC News."
D_claude_baseline,SetFit/bbc-news,4,MoritzLaurer/deberta-v3-base-zeroshot-v2.0,0.85,claude_baseline,Base-size DeBERTa-v3 zero-shot classifier is highly efficient and still achieves >95% accuracy on well-separated 5-class news topics; ideal quality-vs-cost tradeoff.
D_claude_baseline,SetFit/bbc-news,5,MoritzLaurer/ModernBERT-base-zeroshot-v2.0,0.82,claude_baseline,"ModernBERT-base tuned for zero-shot classification combines modern architecture improvements with strong topical generalization, making it a robust and lightweight choice for BBC News."
A_merged,TheFinAI/fiqa-sentiment-classification,1,gauneg/roberta-base-absa-ate-sentiment,0.91,method1,"This is the best task match: it was measured on two ABSA-style neighbors, Chow05/SemEval-2014-Task-4 with f1=0.8632 and NEUDM/mams with f1=0.7939. Its aspect-term and sentiment-polarity design aligns closely with FiQA aspect-based financial sentiment."
A_merged,TheFinAI/fiqa-sentiment-classification,2,CAMeL-Lab/bert-base-arabic-camelbert-mix-sentiment,0.69,method1,"It has a strong measured sentiment result on arbml/ArSAS with f1=0.927, a tweet-oriented sentiment dataset that partly resembles FiQA microblog sentiment. The main caveat is language and domain mismatch, since ArSAS is Arabic and not financial."
A_merged,TheFinAI/fiqa-sentiment-classification,3,IDEA-CCNL/Erlangshen-Roberta-110M-Sentiment,0.66,method1,"It achieved accuracy=0.9661 on Kerwin11/ChnSentiCorp, showing strong measured sentiment-classification capability. This is still indirect evidence because the benchmark is Chinese general sentiment rather than English financial ABSA."
A_merged,TheFinAI/fiqa-sentiment-classification,4,HooshvareLab/bert-base-parsbert-uncased,0.63,method1,"It was measured at f1=0.8812 on ParsiAI/snappfood-sentiment-analysis, giving solid real evidence for sentiment classification. Its fit is limited by the Persian food-review setting, which is less aligned with FiQA financial microblogs and news."
A_merged,TheFinAI/fiqa-sentiment-classification,5,allegro/herbert-base-cased,0.55,method2,"This is GNN-only evidence, but it has a consistent measured classification track record including allegro/klej-polemo2-in accuracy=0.909, allegro/klej-polemo2-out accuracy=0.804, and allegro/klej-psc accuracy=0.989. It ranks below the measured neighborhood sentiment models because the GNN score is predictive rather than measured on similar FiQA-like datasets, and the model is Polish-focused."
B_method1_only,TheFinAI/fiqa-sentiment-classification,1,gauneg/roberta-base-absa-ate-sentiment,0.92,method1,"Best supported model: it was measured on two closely related ABSA datasets, with f1=0.8632 on Chow05/SemEval-2014-Task-4 and f1=0.7939 on NEUDM/mams. Its explicit aspect-term extraction and sentiment-polarity design matches FiQA aspect-based financial sentiment."
B_method1_only,TheFinAI/fiqa-sentiment-classification,2,CAMeL-Lab/bert-base-arabic-camelbert-mix-sentiment,0.70,method1,"Strong single-dataset sentiment evidence with f1=0.927 on arbml/ArSAS, a tweet-based sentiment dataset that resembles FiQA's microblog component. Language/domain mismatch makes it less certain than the ABSA-specific RoBERTa model."
B_method1_only,TheFinAI/fiqa-sentiment-classification,3,IDEA-CCNL/Erlangshen-Roberta-110M-Sentiment,0.66,method1,"Very high measured sentiment-classification performance with accuracy=0.9661 on Kerwin11/ChnSentiCorp. It is sentiment-specialized, though the Chinese review setting is less directly aligned with English financial ABSA."
B_method1_only,TheFinAI/fiqa-sentiment-classification,4,HooshvareLab/bert-base-parsbert-uncased,0.63,method1,"Good measured sentiment evidence with f1=0.8812 on ParsiAI/snappfood-sentiment-analysis. It is relevant as a sentiment classifier, but Persian food-comment data is farther from FiQA's English financial microblogs and news."
B_method1_only,TheFinAI/fiqa-sentiment-classification,5,albert/albert-xxlarge-v1,0.45,method1,"Measured strongly on allenai/squad_v2 with accuracy=0.902 and f1=0.874, showing solid general language understanding in the neighborhood. However, the evidence is from question answering rather than sentiment or ABSA, so transfer confidence is limited."
C_method2_only,TheFinAI/fiqa-sentiment-classification,1,allegro/herbert-base-cased,0.76,method2,"Strongest measured text-classification record: allegro/klej-psc accuracy=0.989, allegro/klej-cdsc-e accuracy=0.945, allegro/klej-polemo2-in accuracy=0.909, and allegro/klej-polemo2-out accuracy=0.804. This is the most consistent evidence on sentiment/classification-like tasks, despite the language/domain mismatch."
C_method2_only,TheFinAI/fiqa-sentiment-classification,2,sdadas/mmlw-roberta-base,0.70,method2,"This was the top GNN recommendation with a non-rounded combined score, and it has relevant measured NLP results on PL-MTEB/cdsce-pairclassification accuracy=0.892 and f1=0.7 plus PL-MTEB/cbd accuracy=0.6811 and f1=0.5686. It is ranked below HerBERT because PL-MTEB/allegro-reviews is weaker at accuracy=0.4026 and f1=0.356."
C_method2_only,TheFinAI/fiqa-sentiment-classification,3,ahmedabdelali/bert-base-qarib,0.58,method2,"It has real measured performance across several text understanding tasks, including Abdelrahman-Rezk/Arabic_Dialect_Identification f1=0.6521, asas-ai/ANERCorp f1=0.6162, and araoye01/sem_eval_2018_task_1 f1=0.4435. The evidence is classification-oriented, but the Arabic focus makes transfer to FIQA sentiment less certain."
C_method2_only,TheFinAI/fiqa-sentiment-classification,4,mradermacher/granite-3.3-8b-qiskit-GGUF,0.50,method2,"This 8B model has stronger general text benchmark evidence than most remaining candidates, including allenai/sciq accuracy=0.933, HuggingFaceH4/ifeval accuracy=0.5971, and ZHENGRAN/mbpp accuracy=0.524. It is not sentiment-specific and is Qiskit-oriented, so it is a fallback rather than a primary fit."
C_method2_only,TheFinAI/fiqa-sentiment-classification,5,segolilylabs/Lily-Cybersecurity-7B-v0.2,0.45,method2,"It provides some measured general language reasoning evidence with allenai/hellaswag accuracy=0.6095, allenai/swag accuracy=0.561, and allenai/openbookqa accuracy=0.328. The cybersecurity specialization and lack of sentiment/classification benchmarks make it the weakest recommendation in the final five."
D_claude_baseline,TheFinAI/fiqa-sentiment-classification,1,ChanceFocus/finma-7b-full,0.92,claude_baseline,"FinMA was instruction-tuned on the PIXIU financial NLP suite that explicitly includes FiQA-SA, so it has already seen this task's distribution and format and reports strong FiQA numbers."
D_claude_baseline,TheFinAI/fiqa-sentiment-classification,2,Qwen/Qwen2.5-14B-Instruct,0.85,claude_baseline,Among the largest allowed general LLMs and one of the strongest 14B instruction-tuned models; fine-tuning or few-shot prompting on FiQA sentiment reliably yields top-tier results on short financial text.
D_claude_baseline,TheFinAI/fiqa-sentiment-classification,3,meta-llama/Llama-3.1-8B-Instruct,0.82,claude_baseline,"Very strong 8B instruction model with excellent transfer to short-text sentiment; a proven, reliable baseline that fine-tunes cleanly on FiQA-scale data."
D_claude_baseline,TheFinAI/fiqa-sentiment-classification,4,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,0.80,claude_baseline,"DeBERTa-v3-large is a top encoder for sentence-level sentiment/regression, and this NLI-tuned checkpoint already excels at zero/few-shot classification of short texts like FiQA headlines and posts."
D_claude_baseline,TheFinAI/fiqa-sentiment-classification,5,ceadar-ie/FinanceConnect-13B,0.78,claude_baseline,"A 13B model continued-pretrained on financial corpora, giving it domain vocabulary and context (earnings, tickers, market jargon) that boost sentiment accuracy on FiQA over generic LLMs of similar size."
A_merged,ade-benchmark-corpus/ade_corpus_v2,1,PlanTL-GOB-ES/roberta-base-biomedical-clinical-es,0.86,both,"Best-supported candidate because it appears in both sources and has strong biomedical token-classification evidence: PlanTL-GOB-ES/pharmaconer f1=0.9004 and PlanTL-GOB-ES/cantemist-ner f1=0.8334. Although Spanish rather than English, its clinical/biomedical NER focus is closely aligned with ADE drug/adverse-effect extraction."
A_merged,ade-benchmark-corpus/ade_corpus_v2,2,tomaarsen/span-marker-bert-base-uncased-acronyms,0.78,method1,Strong measured result on an English token-classification dataset similar in structure to ADE extraction: amirveyseh/acronym_identification f1=0.9199. Its span-marker formulation is a good fit for identifying entity spans such as drugs and adverse effects.
A_merged,ade-benchmark-corpus/ade_corpus_v2,3,katanemo/Arch-Router-1.5B.gguf,0.70,method1,"Has an excellent measured classification result on the retrieved neighborhood dataset DeepPavlov/clinc150 with accuracy=0.972. This supports the ADE classification configuration, though the evidence is less biomedical and does not directly cover token/relation extraction."
A_merged,ade-benchmark-corpus/ade_corpus_v2,4,kyutai/helium-1-preview-2b,0.62,method2,"Top GNN-only recommendation with the highest listed combined score, 0.0044, and a solid general English reasoning track record including allenai/ai2_arc accuracy=0.809 and Rowan/hellaswag accuracy=0.697. It lacks direct biomedical or token-classification measurements, so it ranks below the measured neighborhood models."
